y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,26.0,26.0,0.004335501083875271,1.0,0.896551724137931,0,gte_mean,51.0,train,qth_0.25
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,0,gte_mean,51.0,train,qth_0.25
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,0,gte_mean,51.0,train,qth_0.25
3,5997.0,10.0,7.0,7.0,0.001167250291812573,1.0,0.7,0,gte_mean,51.0,train,qth_0.25
4,5994.0,14.0,12.0,12.0,0.002002002002002002,1.0,0.8571428571428571,0,gte_mean,51.0,train,qth_0.25
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,0,gte_mean,51.0,train,qth_0.25
6,5995.0,62.0,61.0,61.0,0.010175145954962469,1.0,0.9838709677419355,0,gte_mean,51.0,train,qth_0.25
7,5998.0,9.0,8.0,8.0,0.001333777925975325,1.0,0.8888888888888888,0,gte_mean,51.0,train,qth_0.25
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,0,gte_mean,51.0,train,qth_0.25
9,5998.0,7.0,7.0,7.0,0.0011670556852284096,1.0,1.0,0,gte_mean,51.0,train,qth_0.25
all,59968.0,169.0,158.0,158.0,0.0026347385272145144,1.0,0.9349112426035503,0,gte_mean,51.0,train,qth_0.25
0,5997.0,29.0,26.0,26.0,0.004335501083875271,1.0,0.896551724137931,1,gte_mean,51.0,train,qth_0.25
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,1,gte_mean,51.0,train,qth_0.25
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,1,gte_mean,51.0,train,qth_0.25
3,5997.0,10.0,7.0,7.0,0.001167250291812573,1.0,0.7,1,gte_mean,51.0,train,qth_0.25
4,5994.0,14.0,12.0,12.0,0.002002002002002002,1.0,0.8571428571428571,1,gte_mean,51.0,train,qth_0.25
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,1,gte_mean,51.0,train,qth_0.25
6,5995.0,62.0,61.0,61.0,0.010175145954962469,1.0,0.9838709677419355,1,gte_mean,51.0,train,qth_0.25
7,5998.0,9.0,8.0,8.0,0.001333777925975325,1.0,0.8888888888888888,1,gte_mean,51.0,train,qth_0.25
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,1,gte_mean,51.0,train,qth_0.25
9,5998.0,7.0,7.0,7.0,0.0011670556852284096,1.0,1.0,1,gte_mean,51.0,train,qth_0.25
all,59968.0,169.0,158.0,158.0,0.0026347385272145144,1.0,0.9349112426035503,1,gte_mean,51.0,train,qth_0.25
0,5997.0,29.0,26.0,26.0,0.004335501083875271,1.0,0.896551724137931,2,gte_mean,51.0,train,qth_0.25
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,2,gte_mean,51.0,train,qth_0.25
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,2,gte_mean,51.0,train,qth_0.25
