y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,29.0,29.0,0.0048357512089378,1.0,1.0,0,,100.0,train,qth_0.75
1,5997.0,4.0,4.0,4.0,0.00066700016675,1.0,1.0,0,,100.0,train,qth_0.75
2,5997.0,27.0,27.0,27.0,0.0045022511255627,1.0,1.0,0,,100.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751,1.0,1.0,0,,100.0,train,qth_0.75
4,5994.0,14.0,14.0,14.0,0.0023356690023356,1.0,1.0,0,,100.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076,1.0,1.0,0,,100.0,train,qth_0.75
6,5995.0,62.0,62.0,62.0,0.0103419516263552,1.0,1.0,0,,100.0,train,qth_0.75
7,5998.0,9.0,9.0,9.0,0.0015005001667222,1.0,1.0,0,,100.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748,1.0,1.0,0,,100.0,train,qth_0.75
9,5998.0,7.0,7.0,7.0,0.0011670556852284,1.0,1.0,0,,100.0,train,qth_0.75
all,59968.0,169.0,169.0,169.0,0.0028181696905016,1.0,1.0,0,,100.0,train,qth_0.75
0,5997.0,29.0,29.0,29.0,0.0048357512089378,1.0,1.0,1,,100.0,train,qth_0.75
1,5997.0,4.0,4.0,4.0,0.00066700016675,1.0,1.0,1,,100.0,train,qth_0.75
2,5997.0,27.0,27.0,27.0,0.0045022511255627,1.0,1.0,1,,100.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751,1.0,1.0,1,,100.0,train,qth_0.75
4,5994.0,14.0,14.0,14.0,0.0023356690023356,1.0,1.0,1,,100.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076,1.0,1.0,1,,100.0,train,qth_0.75
6,5995.0,62.0,62.0,62.0,0.0103419516263552,1.0,1.0,1,,100.0,train,qth_0.75
7,5998.0,9.0,9.0,9.0,0.0015005001667222,1.0,1.0,1,,100.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748,1.0,1.0,1,,100.0,train,qth_0.75
9,5998.0,7.0,7.0,7.0,0.0011670556852284,1.0,1.0,1,,100.0,train,qth_0.75
all,59968.0,169.0,169.0,169.0,0.0028181696905016,1.0,1.0,1,,100.0,train,qth_0.75
0,5997.0,29.0,29.0,29.0,0.0048357512089378,1.0,1.0,2,,100.0,train,qth_0.75
1,5997.0,4.0,4.0,4.0,0.00066700016675,1.0,1.0,2,,100.0,train,qth_0.75
2,5997.0,27.0,27.0,27.0,0.0045022511255627,1.0,1.0,2,,100.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751,1.0,1.0,2,,100.0,train,qth_0.75
4,5994.0,14.0,14.0,14.0,0.0023356690023356,1.0,1.0,2,,100.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076,1.0,1.0,2,,100.0,train,qth_0.75
6,5995.0,62.0,62.0,62.0,0.0103419516263552,1.0,1.0,2,,100.0,train,qth_0.75
7,5998.0,9.0,9.0,9.0,0.0015005001667222,1.0,1.0,2,,100.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748,1.0,1.0,2,,100.0,train,qth_0.75
9,5998.0,7.0,7.0,7.0,0.0011670556852284,1.0,1.0,2,,100.0,train,qth_0.75
all,59968.0,169.0,169.0,169.0,0.0028181696905016,1.0,1.0,2,,100.0,train,qth_0.75
0,5997.0,29.0,29.0,29.0,0.0048357512089378,1.0,1.0,3,,100.0,train,qth_0.75
1,5997.0,4.0,4.0,4.0,0.00066700016675,1.0,1.0,3,,100.0,train,qth_0.75
2,5997.0,27.0,27.0,27.0,0.0045022511255627,1.0,1.0,3,,100.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751,1.0,1.0,3,,100.0,train,qth_0.75
4,5994.0,14.0,14.0,14.0,0.0023356690023356,1.0,1.0,3,,100.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076,1.0,1.0,3,,100.0,train,qth_0.75
6,5995.0,62.0,62.0,62.0,0.0103419516263552,1.0,1.0,3,,100.0,train,qth_0.75
7,5998.0,9.0,9.0,9.0,0.0015005001667222,1.0,1.0,3,,100.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748,1.0,1.0,3,,100.0,train,qth_0.75
9,5998.0,7.0,7.0,7.0,0.0011670556852284,1.0,1.0,3,,100.0,train,qth_0.75
all,59968.0,169.0,169.0,169.0,0.0028181696905016,1.0,1.0,3,,100.0,train,qth_0.75
0,1000.0,120.0,941.0,120.0,0.941,0.1275239107332625,1.0,0,,100.0,test,qth_0.75
1,997.0,18.0,763.0,18.0,0.765295887662989,0.0235910878112712,1.0,0,,100.0,test,qth_0.75
2,999.0,83.0,975.0,83.0,0.975975975975976,0.0851282051282051,1.0,0,,100.0,test,qth_0.75
3,999.0,62.0,979.0,62.0,0.97997997997998,0.0633299284984678,1.0,0,,100.0,test,qth_0.75
4,999.0,103.0,893.0,101.0,0.8938938938938938,0.1131019036954087,0.9805825242718448,0,,100.0,test,qth_0.75
5,997.0,19.0,750.0,19.0,0.7522567703109327,0.0253333333333333,1.0,0,,100.0,test,qth_0.75
6,999.0,198.0,908.0,198.0,0.908908908908909,0.2180616740088105,1.0,0,,100.0,test,qth_0.75
7,999.0,28.0,695.0,27.0,0.6956956956956957,0.0388489208633093,0.9642857142857144,0,,100.0,test,qth_0.75
8,997.0,14.0,952.0,14.0,0.954864593781344,0.0147058823529411,1.0,0,,100.0,test,qth_0.75
9,998.0,29.0,780.0,28.0,0.781563126252505,0.0358974358974358,0.9655172413793104,0,,100.0,test,qth_0.75
all,9984.0,674.0,8636.0,670.0,0.8649839743589743,0.0775822139879574,0.9940652818991098,0,,100.0,test,qth_0.75
0,1000.0,120.0,941.0,120.0,0.941,0.1275239107332625,1.0,1,,100.0,test,qth_0.75
1,997.0,18.0,763.0,18.0,0.765295887662989,0.0235910878112712,1.0,1,,100.0,test,qth_0.75
2,999.0,83.0,975.0,83.0,0.975975975975976,0.0851282051282051,1.0,1,,100.0,test,qth_0.75
3,999.0,62.0,979.0,62.0,0.97997997997998,0.0633299284984678,1.0,1,,100.0,test,qth_0.75
