y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,23.0,23.0,0.00383525095881274,1.0,0.7931034482758621,0,gte_mean,51.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,0,gte_mean,51.0,train,mean
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,0,gte_mean,51.0,train,mean
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,0,gte_mean,51.0,train,mean
4,5994.0,14.0,12.0,12.0,0.002002002002002002,1.0,0.8571428571428571,0,gte_mean,51.0,train,mean
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,0,gte_mean,51.0,train,mean
6,5995.0,62.0,54.0,54.0,0.009007506255212678,1.0,0.8709677419354839,0,gte_mean,51.0,train,mean
7,5998.0,9.0,6.0,6.0,0.0010003334444814939,1.0,0.6666666666666666,0,gte_mean,51.0,train,mean
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,0,gte_mean,51.0,train,mean
9,5998.0,7.0,7.0,7.0,0.0011670556852284096,1.0,1.0,0,gte_mean,51.0,train,mean
all,59968.0,169.0,150.0,150.0,0.002501334044823906,1.0,0.8875739644970414,0,gte_mean,51.0,train,mean
0,5997.0,29.0,23.0,23.0,0.00383525095881274,1.0,0.7931034482758621,1,gte_mean,51.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,1,gte_mean,51.0,train,mean
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,1,gte_mean,51.0,train,mean
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,1,gte_mean,51.0,train,mean
4,5994.0,14.0,12.0,12.0,0.002002002002002002,1.0,0.8571428571428571,1,gte_mean,51.0,train,mean
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,1,gte_mean,51.0,train,mean
6,5995.0,62.0,54.0,54.0,0.009007506255212678,1.0,0.8709677419354839,1,gte_mean,51.0,train,mean
7,5998.0,9.0,6.0,6.0,0.0010003334444814939,1.0,0.6666666666666666,1,gte_mean,51.0,train,mean
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,1,gte_mean,51.0,train,mean
9,5998.0,7.0,7.0,7.0,0.0011670556852284096,1.0,1.0,1,gte_mean,51.0,train,mean
all,59968.0,169.0,150.0,150.0,0.002501334044823906,1.0,0.8875739644970414,1,gte_mean,51.0,train,mean
0,5997.0,29.0,23.0,23.0,0.00383525095881274,1.0,0.7931034482758621,2,gte_mean,51.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,2,gte_mean,51.0,train,mean
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,2,gte_mean,51.0,train,mean
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,2,gte_mean,51.0,train,mean
4,5994.0,14.0,12.0,12.0,0.002002002002002002,1.0,0.8571428571428571,2,gte_mean,51.0,train,mean
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,2,gte_mean,51.0,train,mean
6,5995.0,62.0,54.0,54.0,0.009007506255212678,1.0,0.8709677419354839,2,gte_mean,51.0,train,mean
7,5998.0,9.0,6.0,6.0,0.0010003334444814939,1.0,0.6666666666666666,2,gte_mean,51.0,train,mean
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,2,gte_mean,51.0,train,mean
9,5998.0,7.0,7.0,7.0,0.0011670556852284096,1.0,1.0,2,gte_mean,51.0,train,mean
all,59968.0,169.0,150.0,150.0,0.002501334044823906,1.0,0.8875739644970414,2,gte_mean,51.0,train,mean
0,5997.0,29.0,23.0,23.0,0.00383525095881274,1.0,0.7931034482758621,3,gte_mean,51.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,3,gte_mean,51.0,train,mean
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,3,gte_mean,51.0,train,mean
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,3,gte_mean,51.0,train,mean
4,5994.0,14.0,12.0,12.0,0.002002002002002002,1.0,0.8571428571428571,3,gte_mean,51.0,train,mean
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,3,gte_mean,51.0,train,mean
6,5995.0,62.0,54.0,54.0,0.009007506255212678,1.0,0.8709677419354839,3,gte_mean,51.0,train,mean
7,5998.0,9.0,6.0,6.0,0.0010003334444814939,1.0,0.6666666666666666,3,gte_mean,51.0,train,mean
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,3,gte_mean,51.0,train,mean
9,5998.0,7.0,7.0,7.0,0.0011670556852284096,1.0,1.0,3,gte_mean,51.0,train,mean
all,59968.0,169.0,150.0,150.0,0.002501334044823906,1.0,0.8875739644970414,3,gte_mean,51.0,train,mean
0,1000.0,120.0,101.0,101.0,0.101,1.0,0.8416666666666667,0,gte_mean,51.0,test,mean
