y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
2,97,1,0,0,0,0.0,0.0,0.0,2,gte_mean,25,test,qth_0.25
3,100,9,5,5,0,0.05,1.0,0.5555555555555556,2,gte_mean,25,test,qth_0.25
4,107,5,0,0,0,0.0,0.0,0.0,2,gte_mean,25,test,qth_0.25
5,95,4,0,0,0,0.0,0.0,0.0,2,gte_mean,25,test,qth_0.25
6,76,3,2,2,0,0.0263157894736842,1.0,0.6666666666666666,2,gte_mean,25,test,qth_0.25
7,97,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
8,125,3,1,1,0,0.008,1.0,0.3333333333333333,2,gte_mean,25,test,qth_0.25
9,86,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
10,95,1,1,1,0,0.0105263157894736,1.0,1.0,2,gte_mean,25,test,qth_0.25
11,81,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
12,98,7,6,6,0,0.0612244897959183,1.0,0.8571428571428571,2,gte_mean,25,test,qth_0.25
13,92,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
14,106,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
15,100,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
16,130,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
17,108,2,2,2,0,0.0185185185185185,1.0,1.0,2,gte_mean,25,test,qth_0.25
18,85,14,7,7,0,0.0823529411764705,1.0,0.5,2,gte_mean,25,test,qth_0.25
19,95,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
20,91,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
21,83,24,2,2,0,0.0240963855421686,1.0,0.08333333333333333,2,gte_mean,25,test,qth_0.25
22,94,7,4,4,0,0.0425531914893617,1.0,0.5714285714285714,2,gte_mean,25,test,qth_0.25
23,110,2,2,2,0,0.0181818181818181,1.0,1.0,2,gte_mean,25,test,qth_0.25
24,98,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
25,107,2,2,2,0,0.0186915887850467,1.0,1.0,2,gte_mean,25,test,qth_0.25
26,115,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
27,94,2,0,0,0,0.0,0.0,0.0,2,gte_mean,25,test,qth_0.25
28,96,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
29,99,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
30,90,19,0,0,0,0.0,0.0,0.0,2,gte_mean,25,test,qth_0.25
31,96,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
32,101,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
33,108,9,7,7,0,0.0648148148148148,1.0,0.7777777777777778,2,gte_mean,25,test,qth_0.25
34,97,1,1,1,0,0.0103092783505154,1.0,1.0,2,gte_mean,25,test,qth_0.25
35,80,1,1,1,0,0.0125,1.0,1.0,2,gte_mean,25,test,qth_0.25
36,94,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
37,89,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
38,100,2,1,1,0,0.01,1.0,0.5,2,gte_mean,25,test,qth_0.25
39,93,30,24,24,0,0.2580645161290322,1.0,0.8,2,gte_mean,25,test,qth_0.25
40,95,6,5,5,0,0.0526315789473684,1.0,0.8333333333333334,2,gte_mean,25,test,qth_0.25
41,99,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
42,89,0,0,0,0,0.0,0.0,,2,gte_mean,25,test,qth_0.25
all,4192,154,73,73,0,0.0174141221374045,1.0,0.474025974025974,2,gte_mean,25,test,qth_0.25
0,94,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
1,107,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
2,97,1,0,0,0,0.0,0.0,0.0,3,gte_mean,25,test,qth_0.25
3,100,9,5,5,0,0.05,1.0,0.5555555555555556,3,gte_mean,25,test,qth_0.25
4,107,5,0,0,0,0.0,0.0,0.0,3,gte_mean,25,test,qth_0.25
5,95,4,0,0,0,0.0,0.0,0.0,3,gte_mean,25,test,qth_0.25
6,76,3,2,2,0,0.0263157894736842,1.0,0.6666666666666666,3,gte_mean,25,test,qth_0.25
7,97,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
8,125,3,1,1,0,0.008,1.0,0.3333333333333333,3,gte_mean,25,test,qth_0.25
9,86,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
10,95,1,1,1,0,0.0105263157894736,1.0,1.0,3,gte_mean,25,test,qth_0.25
11,81,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
12,98,7,6,6,0,0.0612244897959183,1.0,0.8571428571428571,3,gte_mean,25,test,qth_0.25
13,92,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
14,106,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
15,100,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
16,130,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
17,108,2,2,2,0,0.0185185185185185,1.0,1.0,3,gte_mean,25,test,qth_0.25
18,85,14,7,7,0,0.0823529411764705,1.0,0.5,3,gte_mean,25,test,qth_0.25
19,95,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
20,91,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
21,83,24,2,2,0,0.0240963855421686,1.0,0.08333333333333333,3,gte_mean,25,test,qth_0.25
22,94,7,4,4,0,0.0425531914893617,1.0,0.5714285714285714,3,gte_mean,25,test,qth_0.25
23,110,2,2,2,0,0.0181818181818181,1.0,1.0,3,gte_mean,25,test,qth_0.25
24,98,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
25,107,2,2,2,0,0.0186915887850467,1.0,1.0,3,gte_mean,25,test,qth_0.25
26,115,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
27,94,2,0,0,0,0.0,0.0,0.0,3,gte_mean,25,test,qth_0.25
28,96,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
29,99,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
30,90,19,0,0,0,0.0,0.0,0.0,3,gte_mean,25,test,qth_0.25
31,96,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
32,101,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
33,108,9,7,7,0,0.0648148148148148,1.0,0.7777777777777778,3,gte_mean,25,test,qth_0.25
34,97,1,1,1,0,0.0103092783505154,1.0,1.0,3,gte_mean,25,test,qth_0.25
35,80,1,1,1,0,0.0125,1.0,1.0,3,gte_mean,25,test,qth_0.25
36,94,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
37,89,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
38,100,2,1,1,0,0.01,1.0,0.5,3,gte_mean,25,test,qth_0.25
39,93,30,24,24,0,0.2580645161290322,1.0,0.8,3,gte_mean,25,test,qth_0.25
40,95,6,5,5,0,0.0526315789473684,1.0,0.8333333333333334,3,gte_mean,25,test,qth_0.25
41,99,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
42,89,0,0,0,0,0.0,0.0,,3,gte_mean,25,test,qth_0.25
all,4192,154,73,73,0,0.0174141221374045,1.0,0.474025974025974,3,gte_mean,25,test,qth_0.25
1,1000,1000,571,0,571,0.571,1.0,0.0,0,gte_mean,25,evaluation,qth_0.25
all,1000,1000,571,0,571,0.571,1.0,0.0,0,gte_mean,25,evaluation,qth_0.25
1,1000,1000,571,0,571,0.571,1.0,0.0,1,gte_mean,25,evaluation,qth_0.25
all,1000,1000,571,0,571,0.571,1.0,0.0,1,gte_mean,25,evaluation,qth_0.25
1,1000,1000,571,0,571,0.571,1.0,0.0,2,gte_mean,25,evaluation,qth_0.25
all,1000,1000,571,0,571,0.571,1.0,0.0,2,gte_mean,25,evaluation,qth_0.25
1,1000,1000,571,0,571,0.571,1.0,0.0,3,gte_mean,25,evaluation,qth_0.25
all,1000,1000,571,0,571,0.571,1.0,0.0,3,gte_mean,25,evaluation,qth_0.25
0,1538,22,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
1,1483,101,2,2,0,0.0013486176668914,1.0,0.019801980198019802,0,top_third,16,train,qth_0.25
2,1473,88,2,2,0,0.0013577732518669,1.0,0.022727272727272728,0,top_third,16,train,qth_0.25
3,1478,87,4,4,0,0.0027063599458728,1.0,0.04597701149425287,0,top_third,16,train,qth_0.25
4,1528,75,2,2,0,0.0013089005235602,1.0,0.02666666666666667,0,top_third,16,train,qth_0.25
5,1401,144,9,9,0,0.006423982869379,1.0,0.0625,0,top_third,16,train,qth_0.25
6,1521,23,3,3,0,0.0019723865877712,1.0,0.13043478260869565,0,top_third,16,train,qth_0.25
7,1508,42,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
8,1497,85,2,2,0,0.0013360053440213,1.0,0.023529411764705882,0,top_third,16,train,qth_0.25
9,1521,36,1,1,0,0.0006574621959237,1.0,0.027777777777777776,0,top_third,16,train,qth_0.25
10,1447,34,1,1,0,0.0006910850034554,1.0,0.029411764705882353,0,top_third,16,train,qth_0.25
11,1485,42,1,1,0,0.0006734006734006,1.0,0.023809523809523808,0,top_third,16,train,qth_0.25
12,1478,13,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
13,1477,12,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
14,1485,1,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
15,1460,22,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
16,1455,21,5,5,0,0.0034364261168384,1.0,0.23809523809523808,0,top_third,16,train,qth_0.25
17,1478,6,1,1,0,0.0006765899864682,1.0,0.16666666666666666,0,top_third,16,train,qth_0.25
18,1563,42,1,1,0,0.000639795265515,1.0,0.023809523809523808,0,top_third,16,train,qth_0.25
19,1504,79,6,6,0,0.0039893617021276,1.0,0.0759493670886076,0,top_third,16,train,qth_0.25
20,1496,85,1,1,0,0.0006684491978609,1.0,0.011764705882352941,0,top_third,16,train,qth_0.25
21,1455,55,2,2,0,0.0013745704467353,1.0,0.03636363636363636,0,top_third,16,train,qth_0.25
22,1527,30,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
23,1467,46,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
24,1486,30,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
25,1503,62,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
26,1532,23,1,1,0,0.0006527415143603,1.0,0.043478260869565216,0,top_third,16,train,qth_0.25
27,1519,32,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
28,1496,41,1,1,0,0.0006684491978609,1.0,0.024390243902439025,0,top_third,16,train,qth_0.25
29,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,0,top_third,16,train,qth_0.25
30,1508,11,0,0,0,0.0,0.0,0.0,0,top_third,16,train,qth_0.25
31,1472,85,5,5,0,0.0033967391304347,1.0,0.058823529411764705,0,top_third,16,train,qth_0.25
32,1473,15,2,2,0,0.0013577732518669,1.0,0.13333333333333333,0,top_third,16,train,qth_0.25
33,1464,148,19,19,0,0.0129781420765027,1.0,0.12837837837837837,0,top_third,16,train,qth_0.25
34,1519,117,18,18,0,0.0118499012508229,1.0,0.15384615384615385,0,top_third,16,train,qth_0.25
35,1492,31,4,4,0,0.002680965147453,1.0,0.12903225806451613,0,top_third,16,train,qth_0.25
36,1484,103,15,15,0,0.0101078167115902,1.0,0.14563106796116504,0,top_third,16,train,qth_0.25
37,1475,109,15,15,0,0.0101694915254237,1.0,0.13761467889908258,0,top_third,16,train,qth_0.25
38,1401,135,24,24,0,0.0171306209850107,1.0,0.17777777777777778,0,top_third,16,train,qth_0.25
39,1541,104,14,14,0,0.009085009733939,1.0,0.1346153846153846,0,top_third,16,train,qth_0.25
40,1489,17,3,3,0,0.0020147750167897,1.0,0.17647058823529413,0,top_third,16,train,qth_0.25
41,1461,36,3,3,0,0.002053388090349,1.0,0.08333333333333333,0,top_third,16,train,qth_0.25
42,1432,25,1,1,0,0.0006983240223463,1.0,0.04,0,top_third,16,train,qth_0.25
all,63968,2345,169,169,0,0.0026419459729864,1.0,0.07206823027718551,0,top_third,16,train,qth_0.25
0,1538,22,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
1,1483,101,2,2,0,0.0013486176668914,1.0,0.019801980198019802,1,top_third,16,train,qth_0.25
2,1473,88,2,2,0,0.0013577732518669,1.0,0.022727272727272728,1,top_third,16,train,qth_0.25
3,1478,87,4,4,0,0.0027063599458728,1.0,0.04597701149425287,1,top_third,16,train,qth_0.25
4,1528,75,2,2,0,0.0013089005235602,1.0,0.02666666666666667,1,top_third,16,train,qth_0.25
5,1401,144,9,9,0,0.006423982869379,1.0,0.0625,1,top_third,16,train,qth_0.25
6,1521,23,3,3,0,0.0019723865877712,1.0,0.13043478260869565,1,top_third,16,train,qth_0.25
7,1508,42,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
8,1497,85,2,2,0,0.0013360053440213,1.0,0.023529411764705882,1,top_third,16,train,qth_0.25
9,1521,36,1,1,0,0.0006574621959237,1.0,0.027777777777777776,1,top_third,16,train,qth_0.25
10,1447,34,1,1,0,0.0006910850034554,1.0,0.029411764705882353,1,top_third,16,train,qth_0.25
11,1485,42,1,1,0,0.0006734006734006,1.0,0.023809523809523808,1,top_third,16,train,qth_0.25
12,1478,13,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
13,1477,12,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
14,1485,1,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
15,1460,22,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
16,1455,21,5,5,0,0.0034364261168384,1.0,0.23809523809523808,1,top_third,16,train,qth_0.25
17,1478,6,1,1,0,0.0006765899864682,1.0,0.16666666666666666,1,top_third,16,train,qth_0.25
18,1563,42,1,1,0,0.000639795265515,1.0,0.023809523809523808,1,top_third,16,train,qth_0.25
19,1504,79,6,6,0,0.0039893617021276,1.0,0.0759493670886076,1,top_third,16,train,qth_0.25
20,1496,85,1,1,0,0.0006684491978609,1.0,0.011764705882352941,1,top_third,16,train,qth_0.25
21,1455,55,2,2,0,0.0013745704467353,1.0,0.03636363636363636,1,top_third,16,train,qth_0.25
22,1527,30,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
23,1467,46,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
24,1486,30,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
25,1503,62,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
26,1532,23,1,1,0,0.0006527415143603,1.0,0.043478260869565216,1,top_third,16,train,qth_0.25
27,1519,32,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
28,1496,41,1,1,0,0.0006684491978609,1.0,0.024390243902439025,1,top_third,16,train,qth_0.25
29,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,1,top_third,16,train,qth_0.25
30,1508,11,0,0,0,0.0,0.0,0.0,1,top_third,16,train,qth_0.25
31,1472,85,5,5,0,0.0033967391304347,1.0,0.058823529411764705,1,top_third,16,train,qth_0.25
32,1473,15,2,2,0,0.0013577732518669,1.0,0.13333333333333333,1,top_third,16,train,qth_0.25
33,1464,148,19,19,0,0.0129781420765027,1.0,0.12837837837837837,1,top_third,16,train,qth_0.25
34,1519,117,18,18,0,0.0118499012508229,1.0,0.15384615384615385,1,top_third,16,train,qth_0.25
35,1492,31,4,4,0,0.002680965147453,1.0,0.12903225806451613,1,top_third,16,train,qth_0.25
36,1484,103,15,15,0,0.0101078167115902,1.0,0.14563106796116504,1,top_third,16,train,qth_0.25
37,1475,109,15,15,0,0.0101694915254237,1.0,0.13761467889908258,1,top_third,16,train,qth_0.25
38,1401,135,24,24,0,0.0171306209850107,1.0,0.17777777777777778,1,top_third,16,train,qth_0.25
39,1541,104,14,14,0,0.009085009733939,1.0,0.1346153846153846,1,top_third,16,train,qth_0.25
40,1489,17,3,3,0,0.0020147750167897,1.0,0.17647058823529413,1,top_third,16,train,qth_0.25
41,1461,36,3,3,0,0.002053388090349,1.0,0.08333333333333333,1,top_third,16,train,qth_0.25
42,1432,25,1,1,0,0.0006983240223463,1.0,0.04,1,top_third,16,train,qth_0.25
all,63968,2345,169,169,0,0.0026419459729864,1.0,0.07206823027718551,1,top_third,16,train,qth_0.25
0,1538,22,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
1,1483,101,2,2,0,0.0013486176668914,1.0,0.019801980198019802,2,top_third,16,train,qth_0.25
2,1473,88,2,2,0,0.0013577732518669,1.0,0.022727272727272728,2,top_third,16,train,qth_0.25
3,1478,87,4,4,0,0.0027063599458728,1.0,0.04597701149425287,2,top_third,16,train,qth_0.25
4,1528,75,2,2,0,0.0013089005235602,1.0,0.02666666666666667,2,top_third,16,train,qth_0.25
5,1401,144,9,9,0,0.006423982869379,1.0,0.0625,2,top_third,16,train,qth_0.25
6,1521,23,3,3,0,0.0019723865877712,1.0,0.13043478260869565,2,top_third,16,train,qth_0.25
7,1508,42,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
8,1497,85,2,2,0,0.0013360053440213,1.0,0.023529411764705882,2,top_third,16,train,qth_0.25
9,1521,36,1,1,0,0.0006574621959237,1.0,0.027777777777777776,2,top_third,16,train,qth_0.25
10,1447,34,1,1,0,0.0006910850034554,1.0,0.029411764705882353,2,top_third,16,train,qth_0.25
11,1485,42,1,1,0,0.0006734006734006,1.0,0.023809523809523808,2,top_third,16,train,qth_0.25
12,1478,13,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
13,1477,12,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
14,1485,1,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
15,1460,22,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
16,1455,21,5,5,0,0.0034364261168384,1.0,0.23809523809523808,2,top_third,16,train,qth_0.25
17,1478,6,1,1,0,0.0006765899864682,1.0,0.16666666666666666,2,top_third,16,train,qth_0.25
18,1563,42,1,1,0,0.000639795265515,1.0,0.023809523809523808,2,top_third,16,train,qth_0.25
19,1504,79,6,6,0,0.0039893617021276,1.0,0.0759493670886076,2,top_third,16,train,qth_0.25
20,1496,85,1,1,0,0.0006684491978609,1.0,0.011764705882352941,2,top_third,16,train,qth_0.25
21,1455,55,2,2,0,0.0013745704467353,1.0,0.03636363636363636,2,top_third,16,train,qth_0.25
22,1527,30,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
23,1467,46,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
24,1486,30,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
25,1503,62,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
26,1532,23,1,1,0,0.0006527415143603,1.0,0.043478260869565216,2,top_third,16,train,qth_0.25
27,1519,32,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
28,1496,41,1,1,0,0.0006684491978609,1.0,0.024390243902439025,2,top_third,16,train,qth_0.25
29,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,2,top_third,16,train,qth_0.25
30,1508,11,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.25
31,1472,85,5,5,0,0.0033967391304347,1.0,0.058823529411764705,2,top_third,16,train,qth_0.25
32,1473,15,2,2,0,0.0013577732518669,1.0,0.13333333333333333,2,top_third,16,train,qth_0.25
33,1464,148,19,19,0,0.0129781420765027,1.0,0.12837837837837837,2,top_third,16,train,qth_0.25
34,1519,117,18,18,0,0.0118499012508229,1.0,0.15384615384615385,2,top_third,16,train,qth_0.25
35,1492,31,4,4,0,0.002680965147453,1.0,0.12903225806451613,2,top_third,16,train,qth_0.25
36,1484,103,15,15,0,0.0101078167115902,1.0,0.14563106796116504,2,top_third,16,train,qth_0.25
37,1475,109,15,15,0,0.0101694915254237,1.0,0.13761467889908258,2,top_third,16,train,qth_0.25
38,1401,135,24,24,0,0.0171306209850107,1.0,0.17777777777777778,2,top_third,16,train,qth_0.25
39,1541,104,14,14,0,0.009085009733939,1.0,0.1346153846153846,2,top_third,16,train,qth_0.25
40,1489,17,3,3,0,0.0020147750167897,1.0,0.17647058823529413,2,top_third,16,train,qth_0.25
41,1461,36,3,3,0,0.002053388090349,1.0,0.08333333333333333,2,top_third,16,train,qth_0.25
42,1432,25,1,1,0,0.0006983240223463,1.0,0.04,2,top_third,16,train,qth_0.25
all,63968,2345,169,169,0,0.0026419459729864,1.0,0.07206823027718551,2,top_third,16,train,qth_0.25
0,1538,22,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
1,1483,101,2,2,0,0.0013486176668914,1.0,0.019801980198019802,3,top_third,16,train,qth_0.25
2,1473,88,2,2,0,0.0013577732518669,1.0,0.022727272727272728,3,top_third,16,train,qth_0.25
3,1478,87,4,4,0,0.0027063599458728,1.0,0.04597701149425287,3,top_third,16,train,qth_0.25
4,1528,75,2,2,0,0.0013089005235602,1.0,0.02666666666666667,3,top_third,16,train,qth_0.25
5,1401,144,9,9,0,0.006423982869379,1.0,0.0625,3,top_third,16,train,qth_0.25
6,1521,23,3,3,0,0.0019723865877712,1.0,0.13043478260869565,3,top_third,16,train,qth_0.25
7,1508,42,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
8,1497,85,2,2,0,0.0013360053440213,1.0,0.023529411764705882,3,top_third,16,train,qth_0.25
9,1521,36,1,1,0,0.0006574621959237,1.0,0.027777777777777776,3,top_third,16,train,qth_0.25
10,1447,34,1,1,0,0.0006910850034554,1.0,0.029411764705882353,3,top_third,16,train,qth_0.25
11,1485,42,1,1,0,0.0006734006734006,1.0,0.023809523809523808,3,top_third,16,train,qth_0.25
12,1478,13,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
13,1477,12,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
14,1485,1,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
15,1460,22,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
16,1455,21,5,5,0,0.0034364261168384,1.0,0.23809523809523808,3,top_third,16,train,qth_0.25
17,1478,6,1,1,0,0.0006765899864682,1.0,0.16666666666666666,3,top_third,16,train,qth_0.25
18,1563,42,1,1,0,0.000639795265515,1.0,0.023809523809523808,3,top_third,16,train,qth_0.25
19,1504,79,6,6,0,0.0039893617021276,1.0,0.0759493670886076,3,top_third,16,train,qth_0.25
20,1496,85,1,1,0,0.0006684491978609,1.0,0.011764705882352941,3,top_third,16,train,qth_0.25
21,1455,55,2,2,0,0.0013745704467353,1.0,0.03636363636363636,3,top_third,16,train,qth_0.25
22,1527,30,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
23,1467,46,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
24,1486,30,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
25,1503,62,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
26,1532,23,1,1,0,0.0006527415143603,1.0,0.043478260869565216,3,top_third,16,train,qth_0.25
27,1519,32,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
28,1496,41,1,1,0,0.0006684491978609,1.0,0.024390243902439025,3,top_third,16,train,qth_0.25
29,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,3,top_third,16,train,qth_0.25
30,1508,11,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.25
31,1472,85,5,5,0,0.0033967391304347,1.0,0.058823529411764705,3,top_third,16,train,qth_0.25
32,1473,15,2,2,0,0.0013577732518669,1.0,0.13333333333333333,3,top_third,16,train,qth_0.25
33,1464,148,19,19,0,0.0129781420765027,1.0,0.12837837837837837,3,top_third,16,train,qth_0.25
34,1519,117,18,18,0,0.0118499012508229,1.0,0.15384615384615385,3,top_third,16,train,qth_0.25
35,1492,31,4,4,0,0.002680965147453,1.0,0.12903225806451613,3,top_third,16,train,qth_0.25
36,1484,103,15,15,0,0.0101078167115902,1.0,0.14563106796116504,3,top_third,16,train,qth_0.25
37,1475,109,15,15,0,0.0101694915254237,1.0,0.13761467889908258,3,top_third,16,train,qth_0.25
38,1401,135,24,24,0,0.0171306209850107,1.0,0.17777777777777778,3,top_third,16,train,qth_0.25
39,1541,104,14,14,0,0.009085009733939,1.0,0.1346153846153846,3,top_third,16,train,qth_0.25
40,1489,17,3,3,0,0.0020147750167897,1.0,0.17647058823529413,3,top_third,16,train,qth_0.25
41,1461,36,3,3,0,0.002053388090349,1.0,0.08333333333333333,3,top_third,16,train,qth_0.25
42,1432,25,1,1,0,0.0006983240223463,1.0,0.04,3,top_third,16,train,qth_0.25
all,63968,2345,169,169,0,0.0026419459729864,1.0,0.07206823027718551,3,top_third,16,train,qth_0.25
0,94,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
1,107,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
2,97,1,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
3,100,9,1,1,0,0.01,1.0,0.1111111111111111,0,top_third,16,test,qth_0.25
4,107,5,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
5,95,4,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
6,76,3,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
7,97,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
8,125,3,1,1,0,0.008,1.0,0.3333333333333333,0,top_third,16,test,qth_0.25
9,86,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
10,95,1,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
11,81,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
12,98,7,1,1,0,0.010204081632653,1.0,0.14285714285714285,0,top_third,16,test,qth_0.25
13,92,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
14,106,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
15,100,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
16,130,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
17,108,2,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
18,85,14,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
19,95,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
20,91,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
21,83,24,0,0,0,0.0,0.0,0.0,0,top_third,16,test,qth_0.25
22,94,7,1,1,0,0.0106382978723404,1.0,0.14285714285714285,0,top_third,16,test,qth_0.25
23,110,2,2,2,0,0.0181818181818181,1.0,1.0,0,top_third,16,test,qth_0.25
24,98,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
25,107,2,1,1,0,0.0093457943925233,1.0,0.5,0,top_third,16,test,qth_0.25
26,115,0,0,0,0,0.0,0.0,,0,top_third,16,test,qth_0.25
