y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,249,249,0,0.0415207603801901,1.0,0.9651162790697675,3,,30,train,relu
1,5997,35,33,33,0,0.0055027513756878,1.0,0.9428571428571428,3,,30,train,relu
2,5997,258,256,256,0,0.0426880106720026,1.0,0.9922480620155039,3,,30,train,relu
3,5997,173,171,171,0,0.0285142571285642,1.0,0.9884393063583815,3,,30,train,relu
4,5994,306,299,299,0,0.0498832165498832,1.0,0.9771241830065359,3,,30,train,relu
5,5996,57,57,57,0,0.0095063375583722,1.0,1.0,3,,30,train,relu
6,5995,1135,1121,1121,0,0.1869891576313594,1.0,0.9876651982378855,3,,30,train,relu
7,5998,167,154,154,0,0.025675225075025,1.0,0.9221556886227545,3,,30,train,relu
8,5999,18,18,18,0,0.0030005000833472,1.0,1.0,3,,30,train,relu
9,5998,60,53,53,0,0.0088362787595865,1.0,0.8833333333333333,3,,30,train,relu
all,59968,2467,2411,2411,0,0.0402047758804695,1.0,0.9773003648155655,3,,30,train,relu
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,0,,30,test,relu
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,0,,30,test,relu
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,0,,30,test,relu
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,0,,30,test,relu
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,0,,30,test,relu
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,0,,30,test,relu
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,0,,30,test,relu
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,0,,30,test,relu
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,0,,30,test,relu
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,0,,30,test,relu
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,0,,30,test,relu
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,1,,30,test,relu
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,1,,30,test,relu
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,1,,30,test,relu
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,1,,30,test,relu
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,1,,30,test,relu
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,1,,30,test,relu
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,1,,30,test,relu
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,1,,30,test,relu
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,1,,30,test,relu
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,1,,30,test,relu
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,1,,30,test,relu
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,2,,30,test,relu
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,2,,30,test,relu
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,2,,30,test,relu
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,2,,30,test,relu
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,2,,30,test,relu
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,2,,30,test,relu
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,2,,30,test,relu
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,2,,30,test,relu
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,2,,30,test,relu
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,2,,30,test,relu
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,2,,30,test,relu
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,3,,30,test,relu
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,3,,30,test,relu
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,3,,30,test,relu
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,3,,30,test,relu
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,3,,30,test,relu
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,3,,30,test,relu
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,3,,30,test,relu
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,3,,30,test,relu
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,3,,30,test,relu
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,3,,30,test,relu
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,3,,30,test,relu
1,1000,1000,999,0,999,0.999,1.0,0.0,0,,30,evaluation,relu
all,1000,1000,999,0,999,0.999,1.0,0.0,0,,30,evaluation,relu
1,1000,1000,999,0,999,0.999,1.0,0.0,1,,30,evaluation,relu
all,1000,1000,999,0,999,0.999,1.0,0.0,1,,30,evaluation,relu
1,1000,1000,999,0,999,0.999,1.0,0.0,2,,30,evaluation,relu
all,1000,1000,999,0,999,0.999,1.0,0.0,2,,30,evaluation,relu
1,1000,1000,999,0,999,0.999,1.0,0.0,3,,30,evaluation,relu
all,1000,1000,999,0,999,0.999,1.0,0.0,3,,30,evaluation,relu
0,5997,258,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
5,5996,57,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,0,components,8,train,relu
7,5998,167,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
8,5999,18,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
9,5998,60,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,0,components,8,train,relu
0,5997,258,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
5,5996,57,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,1,components,8,train,relu
7,5998,167,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
8,5999,18,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
9,5998,60,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,1,components,8,train,relu
0,5997,258,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
5,5996,57,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,2,components,8,train,relu
7,5998,167,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
8,5999,18,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
9,5998,60,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,2,components,8,train,relu
0,5997,258,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
5,5996,57,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,3,components,8,train,relu
7,5998,167,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
8,5999,18,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
9,5998,60,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,3,components,8,train,relu
0,1000,82,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
1,997,15,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
2,999,90,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
3,999,65,2,0,2,0.002002002002002,1.0,0.0,0,components,8,test,relu
4,999,109,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
5,997,25,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
6,999,292,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
7,999,39,1,0,1,0.001001001001001,1.0,0.0,0,components,8,test,relu
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,0,components,8,test,relu
9,998,24,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,0,components,8,test,relu
0,1000,82,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
1,997,15,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
2,999,90,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
3,999,65,2,0,2,0.002002002002002,1.0,0.0,1,components,8,test,relu
4,999,109,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
5,997,25,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
6,999,292,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
7,999,39,1,0,1,0.001001001001001,1.0,0.0,1,components,8,test,relu
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,1,components,8,test,relu
9,998,24,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,1,components,8,test,relu
0,1000,82,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
1,997,15,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
2,999,90,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
3,999,65,2,0,2,0.002002002002002,1.0,0.0,2,components,8,test,relu
4,999,109,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
5,997,25,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
6,999,292,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
7,999,39,1,0,1,0.001001001001001,1.0,0.0,2,components,8,test,relu
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,2,components,8,test,relu
9,998,24,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,2,components,8,test,relu
0,1000,82,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
1,997,15,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
2,999,90,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
3,999,65,2,0,2,0.002002002002002,1.0,0.0,3,components,8,test,relu
4,999,109,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
5,997,25,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
6,999,292,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
7,999,39,1,0,1,0.001001001001001,1.0,0.0,3,components,8,test,relu
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,3,components,8,test,relu
9,998,24,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,3,components,8,test,relu
1,1000,1000,32,0,32,0.032,1.0,0.0,0,components,8,evaluation,relu
all,1000,1000,32,0,32,0.032,1.0,0.0,0,components,8,evaluation,relu
1,1000,1000,32,0,32,0.032,1.0,0.0,1,components,8,evaluation,relu
all,1000,1000,32,0,32,0.032,1.0,0.0,1,components,8,evaluation,relu
1,1000,1000,32,0,32,0.032,1.0,0.0,2,components,8,evaluation,relu
all,1000,1000,32,0,32,0.032,1.0,0.0,2,components,8,evaluation,relu
1,1000,1000,32,0,32,0.032,1.0,0.0,3,components,8,evaluation,relu
all,1000,1000,32,0,32,0.032,1.0,0.0,3,components,8,evaluation,relu
0,5997,258,249,249,0,0.0415207603801901,1.0,0.9651162790697675,0,,30,train,mean
1,5997,35,33,33,0,0.0055027513756878,1.0,0.9428571428571428,0,,30,train,mean
2,5997,258,256,256,0,0.0426880106720026,1.0,0.9922480620155039,0,,30,train,mean
3,5997,173,171,171,0,0.0285142571285642,1.0,0.9884393063583815,0,,30,train,mean
4,5994,306,299,299,0,0.0498832165498832,1.0,0.9771241830065359,0,,30,train,mean
5,5996,57,57,57,0,0.0095063375583722,1.0,1.0,0,,30,train,mean
6,5995,1135,1121,1121,0,0.1869891576313594,1.0,0.9876651982378855,0,,30,train,mean
7,5998,167,154,154,0,0.025675225075025,1.0,0.9221556886227545,0,,30,train,mean
8,5999,18,18,18,0,0.0030005000833472,1.0,1.0,0,,30,train,mean
9,5998,60,53,53,0,0.0088362787595865,1.0,0.8833333333333333,0,,30,train,mean
all,59968,2467,2411,2411,0,0.0402047758804695,1.0,0.9773003648155655,0,,30,train,mean
0,5997,258,249,249,0,0.0415207603801901,1.0,0.9651162790697675,1,,30,train,mean
1,5997,35,33,33,0,0.0055027513756878,1.0,0.9428571428571428,1,,30,train,mean
2,5997,258,256,256,0,0.0426880106720026,1.0,0.9922480620155039,1,,30,train,mean
3,5997,173,171,171,0,0.0285142571285642,1.0,0.9884393063583815,1,,30,train,mean
4,5994,306,299,299,0,0.0498832165498832,1.0,0.9771241830065359,1,,30,train,mean
5,5996,57,57,57,0,0.0095063375583722,1.0,1.0,1,,30,train,mean
6,5995,1135,1121,1121,0,0.1869891576313594,1.0,0.9876651982378855,1,,30,train,mean
7,5998,167,154,154,0,0.025675225075025,1.0,0.9221556886227545,1,,30,train,mean
8,5999,18,18,18,0,0.0030005000833472,1.0,1.0,1,,30,train,mean
9,5998,60,53,53,0,0.0088362787595865,1.0,0.8833333333333333,1,,30,train,mean
all,59968,2467,2411,2411,0,0.0402047758804695,1.0,0.9773003648155655,1,,30,train,mean
0,5997,258,249,249,0,0.0415207603801901,1.0,0.9651162790697675,2,,30,train,mean
1,5997,35,33,33,0,0.0055027513756878,1.0,0.9428571428571428,2,,30,train,mean
2,5997,258,256,256,0,0.0426880106720026,1.0,0.9922480620155039,2,,30,train,mean
3,5997,173,171,171,0,0.0285142571285642,1.0,0.9884393063583815,2,,30,train,mean
4,5994,306,299,299,0,0.0498832165498832,1.0,0.9771241830065359,2,,30,train,mean
5,5996,57,57,57,0,0.0095063375583722,1.0,1.0,2,,30,train,mean
6,5995,1135,1121,1121,0,0.1869891576313594,1.0,0.9876651982378855,2,,30,train,mean
7,5998,167,154,154,0,0.025675225075025,1.0,0.9221556886227545,2,,30,train,mean
8,5999,18,18,18,0,0.0030005000833472,1.0,1.0,2,,30,train,mean
9,5998,60,53,53,0,0.0088362787595865,1.0,0.8833333333333333,2,,30,train,mean
all,59968,2467,2411,2411,0,0.0402047758804695,1.0,0.9773003648155655,2,,30,train,mean
0,5997,258,249,249,0,0.0415207603801901,1.0,0.9651162790697675,3,,30,train,mean
1,5997,35,33,33,0,0.0055027513756878,1.0,0.9428571428571428,3,,30,train,mean
2,5997,258,256,256,0,0.0426880106720026,1.0,0.9922480620155039,3,,30,train,mean
3,5997,173,171,171,0,0.0285142571285642,1.0,0.9884393063583815,3,,30,train,mean
4,5994,306,299,299,0,0.0498832165498832,1.0,0.9771241830065359,3,,30,train,mean
5,5996,57,57,57,0,0.0095063375583722,1.0,1.0,3,,30,train,mean
6,5995,1135,1121,1121,0,0.1869891576313594,1.0,0.9876651982378855,3,,30,train,mean
7,5998,167,154,154,0,0.025675225075025,1.0,0.9221556886227545,3,,30,train,mean
8,5999,18,18,18,0,0.0030005000833472,1.0,1.0,3,,30,train,mean
9,5998,60,53,53,0,0.0088362787595865,1.0,0.8833333333333333,3,,30,train,mean
all,59968,2467,2411,2411,0,0.0402047758804695,1.0,0.9773003648155655,3,,30,train,mean
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,0,,30,test,mean
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,0,,30,test,mean
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,0,,30,test,mean
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,0,,30,test,mean
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,0,,30,test,mean
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,0,,30,test,mean
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,0,,30,test,mean
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,0,,30,test,mean
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,0,,30,test,mean
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,0,,30,test,mean
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,0,,30,test,mean
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,1,,30,test,mean
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,1,,30,test,mean
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,1,,30,test,mean
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,1,,30,test,mean
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,1,,30,test,mean
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,1,,30,test,mean
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,1,,30,test,mean
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,1,,30,test,mean
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,1,,30,test,mean
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,1,,30,test,mean
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,1,,30,test,mean
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,2,,30,test,mean
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,2,,30,test,mean
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,2,,30,test,mean
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,2,,30,test,mean
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,2,,30,test,mean
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,2,,30,test,mean
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,2,,30,test,mean
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,2,,30,test,mean
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,2,,30,test,mean
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,2,,30,test,mean
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,2,,30,test,mean
0,1000,82,957,81,876,0.957,0.0846394984326018,0.9878048780487805,3,,30,test,mean
1,997,15,887,14,873,0.8896690070210632,0.0157835400225479,0.9333333333333333,3,,30,test,mean
2,999,90,961,89,872,0.961961961961962,0.0926118626430801,0.9888888888888889,3,,30,test,mean
3,999,65,926,63,863,0.9269269269269268,0.0680345572354211,0.9692307692307692,3,,30,test,mean
4,999,109,948,107,841,0.948948948948949,0.1128691983122362,0.981651376146789,3,,30,test,mean
5,997,25,909,24,885,0.9117352056168504,0.0264026402640264,0.96,3,,30,test,mean
6,999,292,942,291,651,0.9429429429429428,0.3089171974522293,0.9965753424657534,3,,30,test,mean
7,999,39,876,34,842,0.8768768768768769,0.0388127853881278,0.8717948717948718,3,,30,test,mean
8,997,11,913,11,902,0.9157472417251756,0.0120481927710843,1.0,3,,30,test,mean
9,998,24,868,18,850,0.8697394789579158,0.02073732718894,0.75,3,,30,test,mean
all,9984,752,9187,732,8455,0.9201722756410255,0.0796778055948623,0.973404255319149,3,,30,test,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,0,,30,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,0,,30,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,1,,30,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,1,,30,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,2,,30,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,2,,30,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,3,,30,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,3,,30,evaluation,mean
0,5997,258,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
2,5997,258,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
4,5994,306,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
5,5996,57,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,0,components,8,train,mean
7,5998,167,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
8,5999,18,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
9,5998,60,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,0,components,8,train,mean
0,5997,258,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
2,5997,258,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
4,5994,306,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
5,5996,57,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,1,components,8,train,mean
7,5998,167,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
8,5999,18,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
9,5998,60,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,1,components,8,train,mean
0,5997,258,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
2,5997,258,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
4,5994,306,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
5,5996,57,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,2,components,8,train,mean
7,5998,167,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
8,5999,18,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
9,5998,60,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,2,components,8,train,mean
0,5997,258,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
2,5997,258,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
4,5994,306,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
5,5996,57,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
6,5995,1135,1,1,0,0.0001668056713928,1.0,0.000881057268722467,3,components,8,train,mean
7,5998,167,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
8,5999,18,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
9,5998,60,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
all,59968,2467,1,1,0,1.667556029882604e-05,1.0,0.00040535062829347385,3,components,8,train,mean
0,1000,82,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
1,997,15,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
2,999,90,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
3,999,65,2,0,2,0.002002002002002,1.0,0.0,0,components,8,test,mean
4,999,109,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
5,997,25,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
6,999,292,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
7,999,39,1,0,1,0.001001001001001,1.0,0.0,0,components,8,test,mean
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,0,components,8,test,mean
9,998,24,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,0,components,8,test,mean
0,1000,82,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
1,997,15,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
2,999,90,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
3,999,65,2,0,2,0.002002002002002,1.0,0.0,1,components,8,test,mean
4,999,109,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
5,997,25,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
6,999,292,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
7,999,39,1,0,1,0.001001001001001,1.0,0.0,1,components,8,test,mean
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,1,components,8,test,mean
9,998,24,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,1,components,8,test,mean
0,1000,82,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
1,997,15,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
2,999,90,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
3,999,65,2,0,2,0.002002002002002,1.0,0.0,2,components,8,test,mean
4,999,109,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
5,997,25,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
6,999,292,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
7,999,39,1,0,1,0.001001001001001,1.0,0.0,2,components,8,test,mean
8,997,11,2,1,1,0.0020060180541624,0.5,0.09090909090909091,2,components,8,test,mean
9,998,24,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
all,9984,752,5,1,4,0.0005008012820512,0.2,0.0013297872340425532,2,components,8,test,mean
0,1000,82,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
1,997,15,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
2,999,90,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
