y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,47.0,47.0,0.0079351679891946,1.0,0.8103448275862069,0,,30.0,train,qth_0.5
1,6742.0,101.0,71.0,71.0,0.0105309997033521,1.0,0.7029702970297029,0,,30.0,train,qth_0.5
2,5958.0,270.0,221.0,221.0,0.0370929842228935,1.0,0.8185185185185185,0,,30.0,train,qth_0.5
3,6131.0,201.0,162.0,162.0,0.0264230957429456,1.0,0.8059701492537313,0,,30.0,train,qth_0.5
4,5842.0,278.0,181.0,181.0,0.03098254022595,1.0,0.6510791366906474,0,,30.0,train,qth_0.5
5,5421.0,133.0,114.0,114.0,0.0210293303818483,1.0,0.8571428571428571,0,,30.0,train,qth_0.5
6,5918.0,131.0,93.0,93.0,0.0157147685028725,1.0,0.7099236641221374,0,,30.0,train,qth_0.5
7,6265.0,162.0,111.0,111.0,0.0177174780526735,1.0,0.6851851851851852,0,,30.0,train,qth_0.5
8,5851.0,239.0,196.0,196.0,0.0334985472568791,1.0,0.8200836820083682,0,,30.0,train,qth_0.5
9,5949.0,230.0,172.0,172.0,0.0289124222558413,1.0,0.7478260869565218,0,,30.0,train,qth_0.5
all,60000.0,1803.0,1368.0,1368.0,0.0228,1.0,0.7587354409317804,0,,30.0,train,qth_0.5
0,5923.0,58.0,47.0,47.0,0.0079351679891946,1.0,0.8103448275862069,1,,30.0,train,qth_0.5
1,6742.0,101.0,71.0,71.0,0.0105309997033521,1.0,0.7029702970297029,1,,30.0,train,qth_0.5
2,5958.0,270.0,221.0,221.0,0.0370929842228935,1.0,0.8185185185185185,1,,30.0,train,qth_0.5
3,6131.0,201.0,162.0,162.0,0.0264230957429456,1.0,0.8059701492537313,1,,30.0,train,qth_0.5
4,5842.0,278.0,181.0,181.0,0.03098254022595,1.0,0.6510791366906474,1,,30.0,train,qth_0.5
5,5421.0,133.0,114.0,114.0,0.0210293303818483,1.0,0.8571428571428571,1,,30.0,train,qth_0.5
6,5918.0,131.0,93.0,93.0,0.0157147685028725,1.0,0.7099236641221374,1,,30.0,train,qth_0.5
7,6265.0,162.0,111.0,111.0,0.0177174780526735,1.0,0.6851851851851852,1,,30.0,train,qth_0.5
8,5851.0,239.0,196.0,196.0,0.0334985472568791,1.0,0.8200836820083682,1,,30.0,train,qth_0.5
9,5949.0,230.0,172.0,172.0,0.0289124222558413,1.0,0.7478260869565218,1,,30.0,train,qth_0.5
all,60000.0,1803.0,1368.0,1368.0,0.0228,1.0,0.7587354409317804,1,,30.0,train,qth_0.5
0,5923.0,58.0,47.0,47.0,0.0079351679891946,1.0,0.8103448275862069,2,,30.0,train,qth_0.5
1,6742.0,101.0,71.0,71.0,0.0105309997033521,1.0,0.7029702970297029,2,,30.0,train,qth_0.5
2,5958.0,270.0,221.0,221.0,0.0370929842228935,1.0,0.8185185185185185,2,,30.0,train,qth_0.5
3,6131.0,201.0,162.0,162.0,0.0264230957429456,1.0,0.8059701492537313,2,,30.0,train,qth_0.5
4,5842.0,278.0,181.0,181.0,0.03098254022595,1.0,0.6510791366906474,2,,30.0,train,qth_0.5
5,5421.0,133.0,114.0,114.0,0.0210293303818483,1.0,0.8571428571428571,2,,30.0,train,qth_0.5
6,5918.0,131.0,93.0,93.0,0.0157147685028725,1.0,0.7099236641221374,2,,30.0,train,qth_0.5
7,6265.0,162.0,111.0,111.0,0.0177174780526735,1.0,0.6851851851851852,2,,30.0,train,qth_0.5
8,5851.0,239.0,196.0,196.0,0.0334985472568791,1.0,0.8200836820083682,2,,30.0,train,qth_0.5
9,5949.0,230.0,172.0,172.0,0.0289124222558413,1.0,0.7478260869565218,2,,30.0,train,qth_0.5
all,60000.0,1803.0,1368.0,1368.0,0.0228,1.0,0.7587354409317804,2,,30.0,train,qth_0.5
0,5923.0,58.0,47.0,47.0,0.0079351679891946,1.0,0.8103448275862069,3,,30.0,train,qth_0.5
1,6742.0,101.0,71.0,71.0,0.0105309997033521,1.0,0.7029702970297029,3,,30.0,train,qth_0.5
2,5958.0,270.0,221.0,221.0,0.0370929842228935,1.0,0.8185185185185185,3,,30.0,train,qth_0.5
