y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,29.0,28.0,28.0,0.0047273341212223,1.0,0.9655172413793104,0,,60.0,train,qth_0.5
1,6742.0,56.0,56.0,56.0,0.0083061406110946,1.0,1.0,0,,60.0,train,qth_0.5
2,5958.0,132.0,129.0,129.0,0.0216515609264854,1.0,0.9772727272727272,0,,60.0,train,qth_0.5
3,6131.0,96.0,95.0,95.0,0.015495025281357,1.0,0.9895833333333334,0,,60.0,train,qth_0.5
4,5842.0,112.0,111.0,111.0,0.0190003423485107,1.0,0.9910714285714286,0,,60.0,train,qth_0.5
5,5421.0,77.0,77.0,77.0,0.014204021398266,1.0,1.0,0,,60.0,train,qth_0.5
6,5918.0,84.0,82.0,82.0,0.013856032443393,1.0,0.9761904761904762,0,,60.0,train,qth_0.5
7,6265.0,86.0,85.0,85.0,0.0135674381484437,1.0,0.9883720930232558,0,,60.0,train,qth_0.5
8,5851.0,124.0,123.0,123.0,0.0210220475132455,1.0,0.9919354838709676,0,,60.0,train,qth_0.5
9,5949.0,139.0,138.0,138.0,0.0231971759959657,1.0,0.9928057553956836,0,,60.0,train,qth_0.5
all,60000.0,935.0,924.0,924.0,0.0154,1.0,0.9882352941176472,0,,60.0,train,qth_0.5
0,5923.0,29.0,28.0,28.0,0.0047273341212223,1.0,0.9655172413793104,1,,60.0,train,qth_0.5
1,6742.0,56.0,56.0,56.0,0.0083061406110946,1.0,1.0,1,,60.0,train,qth_0.5
2,5958.0,132.0,129.0,129.0,0.0216515609264854,1.0,0.9772727272727272,1,,60.0,train,qth_0.5
3,6131.0,96.0,95.0,95.0,0.015495025281357,1.0,0.9895833333333334,1,,60.0,train,qth_0.5
4,5842.0,112.0,111.0,111.0,0.0190003423485107,1.0,0.9910714285714286,1,,60.0,train,qth_0.5
5,5421.0,77.0,77.0,77.0,0.014204021398266,1.0,1.0,1,,60.0,train,qth_0.5
6,5918.0,84.0,82.0,82.0,0.013856032443393,1.0,0.9761904761904762,1,,60.0,train,qth_0.5
7,6265.0,86.0,85.0,85.0,0.0135674381484437,1.0,0.9883720930232558,1,,60.0,train,qth_0.5
8,5851.0,124.0,123.0,123.0,0.0210220475132455,1.0,0.9919354838709676,1,,60.0,train,qth_0.5
9,5949.0,139.0,138.0,138.0,0.0231971759959657,1.0,0.9928057553956836,1,,60.0,train,qth_0.5
all,60000.0,935.0,924.0,924.0,0.0154,1.0,0.9882352941176472,1,,60.0,train,qth_0.5
0,5923.0,29.0,28.0,28.0,0.0047273341212223,1.0,0.9655172413793104,2,,60.0,train,qth_0.5
1,6742.0,56.0,56.0,56.0,0.0083061406110946,1.0,1.0,2,,60.0,train,qth_0.5
2,5958.0,132.0,129.0,129.0,0.0216515609264854,1.0,0.9772727272727272,2,,60.0,train,qth_0.5
3,6131.0,96.0,95.0,95.0,0.015495025281357,1.0,0.9895833333333334,2,,60.0,train,qth_0.5
4,5842.0,112.0,111.0,111.0,0.0190003423485107,1.0,0.9910714285714286,2,,60.0,train,qth_0.5
5,5421.0,77.0,77.0,77.0,0.014204021398266,1.0,1.0,2,,60.0,train,qth_0.5
6,5918.0,84.0,82.0,82.0,0.013856032443393,1.0,0.9761904761904762,2,,60.0,train,qth_0.5
7,6265.0,86.0,85.0,85.0,0.0135674381484437,1.0,0.9883720930232558,2,,60.0,train,qth_0.5
8,5851.0,124.0,123.0,123.0,0.0210220475132455,1.0,0.9919354838709676,2,,60.0,train,qth_0.5
9,5949.0,139.0,138.0,138.0,0.0231971759959657,1.0,0.9928057553956836,2,,60.0,train,qth_0.5
all,60000.0,935.0,924.0,924.0,0.0154,1.0,0.9882352941176472,2,,60.0,train,qth_0.5
0,5923.0,29.0,28.0,28.0,0.0047273341212223,1.0,0.9655172413793104,3,,60.0,train,qth_0.5
1,6742.0,56.0,56.0,56.0,0.0083061406110946,1.0,1.0,3,,60.0,train,qth_0.5
2,5958.0,132.0,129.0,129.0,0.0216515609264854,1.0,0.9772727272727272,3,,60.0,train,qth_0.5
3,6131.0,96.0,95.0,95.0,0.015495025281357,1.0,0.9895833333333334,3,,60.0,train,qth_0.5
4,5842.0,112.0,111.0,111.0,0.0190003423485107,1.0,0.9910714285714286,3,,60.0,train,qth_0.5
5,5421.0,77.0,77.0,77.0,0.014204021398266,1.0,1.0,3,,60.0,train,qth_0.5
6,5918.0,84.0,82.0,82.0,0.013856032443393,1.0,0.9761904761904762,3,,60.0,train,qth_0.5
7,6265.0,86.0,85.0,85.0,0.0135674381484437,1.0,0.9883720930232558,3,,60.0,train,qth_0.5
8,5851.0,124.0,123.0,123.0,0.0210220475132455,1.0,0.9919354838709676,3,,60.0,train,qth_0.5
9,5949.0,139.0,138.0,138.0,0.0231971759959657,1.0,0.9928057553956836,3,,60.0,train,qth_0.5
all,60000.0,935.0,924.0,924.0,0.0154,1.0,0.9882352941176472,3,,60.0,train,qth_0.5
0,979.0,5.0,5.0,5.0,0.0051072522982635,1.0,1.0,0,,60.0,test,qth_0.5
1,1133.0,4.0,3.0,3.0,0.0026478375992939,1.0,0.75,0,,60.0,test,qth_0.5
2,1030.0,25.0,25.0,25.0,0.0242718446601941,1.0,1.0,0,,60.0,test,qth_0.5
3,1008.0,12.0,12.0,12.0,0.0119047619047619,1.0,1.0,0,,60.0,test,qth_0.5
4,980.0,22.0,22.0,22.0,0.0224489795918367,1.0,1.0,0,,60.0,test,qth_0.5
5,890.0,13.0,13.0,13.0,0.0146067415730337,1.0,1.0,0,,60.0,test,qth_0.5
6,956.0,22.0,22.0,22.0,0.0230125523012552,1.0,1.0,0,,60.0,test,qth_0.5
7,1027.0,18.0,17.0,17.0,0.0165530671859785,1.0,0.9444444444444444,0,,60.0,test,qth_0.5
8,973.0,18.0,18.0,18.0,0.0184994861253854,1.0,1.0,0,,60.0,test,qth_0.5
9,1008.0,35.0,35.0,35.0,0.0347222222222222,1.0,1.0,0,,60.0,test,qth_0.5
all,9984.0,174.0,172.0,172.0,0.0172275641025641,1.0,0.9885057471264368,0,,60.0,test,qth_0.5
0,979.0,5.0,5.0,5.0,0.0051072522982635,1.0,1.0,1,,60.0,test,qth_0.5
1,1133.0,4.0,3.0,3.0,0.0026478375992939,1.0,0.75,1,,60.0,test,qth_0.5
2,1030.0,25.0,25.0,25.0,0.0242718446601941,1.0,1.0,1,,60.0,test,qth_0.5
